date,subways_total_estimated_ridership,division,train_line,wday_wnd,incident_type,incident_count
2020-10-01,1809958,B DIVISION,B,1,Signals,1
2020-10-01,1809958,B DIVISION,C,1,Persons on Trackbed/Police/Medical,1
2020-10-01,1809958,B DIVISION,D,1,Signals,1
2020-10-01,1809958,B DIVISION,F,1,Signals,1
2020-10-01,1809958,B DIVISION,L,1,Signals,1
2020-10-01,1809958,B DIVISION,N,1,Persons on Trackbed/Police/Medical,1
2020-10-01,1809958,B DIVISION,N,2,Persons on Trackbed/Police/Medical,1
2020-11-01,786675,A DIVISION,1,1,Persons on Trackbed/Police/Medical,2
2020-11-01,786675,A DIVISION,1,2,Persons on Trackbed/Police/Medical,1
2020-11-01,786675,A DIVISION,2,1,Persons on Trackbed/Police/Medical,1
2020-11-01,786675,A DIVISION,2,1,Signals,1
2020-11-01,786675,A DIVISION,3,1,Other,1
2020-11-01,786675,A DIVISION,3,1,Signals,1
2020-11-01,786675,A DIVISION,4,1,Persons on Trackbed/Police/Medical,2
2020-11-01,786675,A DIVISION,5,1,Persons on Trackbed/Police/Medical,1
2020-11-01,786675,A DIVISION,6,1,Signals,1
2020-11-01,786675,A DIVISION,6,1,Track,1
2020-11-01,786675,A DIVISION,6,2,Persons on Trackbed/Police/Medical,1
2020-11-01,786675,A DIVISION,7,1,Subway Car,1
2020-11-01,786675,B DIVISION,B,1,Signals,1
2020-11-01,786675,B DIVISION,D,2,Signals,1
2020-11-01,786675,B DIVISION,F,1,Signals,1
2020-11-01,786675,B DIVISION,F,1,Stations and Structure,1
2020-11-01,786675,B DIVISION,G,1,Signals,1
2020-11-01,786675,B DIVISION,L,1,Other,1
2020-11-01,786675,B DIVISION,N,1,Other,3
2020-11-01,786675,B DIVISION,N,1,Signals,2
2020-11-01,786675,B DIVISION,R,1,Signals,2
2020-12-01,1706348,A DIVISION,2,1,Other,1
2020-12-01,1706348,A DIVISION,2,1,Persons on Trackbed/Police/Medical,2
2020-12-01,1706348,A DIVISION,2,2,Persons on Trackbed/Police/Medical,1
2020-12-01,1706348,A DIVISION,3,1,Persons on Trackbed/Police/Medical,1
2020-12-01,1706348,A DIVISION,3,1,Signals,1
2020-12-01,1706348,A DIVISION,3,2,Persons on Trackbed/Police/Medical,1
2020-12-01,1706348,A DIVISION,3,2,Stations and Structure,1
2020-12-01,1706348,A DIVISION,4,1,Other,1
2020-12-01,1706348,A DIVISION,5,1,Subway Car,1
2020-12-01,1706348,A DIVISION,6,1,Other,1
2020-12-01,1706348,A DIVISION,6,1,Persons on Trackbed/Police/Medical,2
2020-12-01,1706348,A DIVISION,6,2,Signals,1
2020-12-01,1706348,A DIVISION,7,1,Persons on Trackbed/Police/Medical,1
2020-12-01,1706348,A DIVISION,7,1,Signals,2
2020-12-01,1706348,A DIVISION,S 42nd,1,Subway Car,1
2020-12-01,1706348,B DIVISION,A,1,Signals,4
2020-12-01,1706348,B DIVISION,A,2,Persons on Trackbed/Police/Medical,1
2020-12-01,1706348,B DIVISION,B,1,Signals,2
2020-12-01,1706348,B DIVISION,C,1,Persons on Trackbed/Police/Medical,1
2020-12-01,1706348,B DIVISION,C,1,Signals,1
2020-12-01,1706348,B DIVISION,C,1,Track,1
2020-12-01,1706348,B DIVISION,C,2,Other,1
2020-12-01,1706348,B DIVISION,D,1,Other,1
2020-12-01,1706348,B DIVISION,D,1,Persons on Trackbed/Police/Medical,1
2020-12-01,1706348,B DIVISION,D,1,Signals,1
2020-12-01,1706348,B DIVISION,D,1,Track,1
2020-12-01,1706348,B DIVISION,E,1,Signals,1
2020-12-01,1706348,B DIVISION,JZ,1,Subway Car,1
2020-12-01,1706348,B DIVISION,N,1,Signals,3
2020-12-01,1706348,B DIVISION,N,1,Subway Car,1
2020-12-01,1706348,B DIVISION,Q,1,Other,1
2020-12-01,1706348,B DIVISION,Q,1,Signals,2
2020-12-01,1706348,B DIVISION,R,1,Signals,2
2020-12-01,1706348,B DIVISION,R,1,Subway Car,1
2021-01-01,613692,A DIVISION,1,1,Signals,1
2021-01-01,613692,A DIVISION,2,2,Track,1
2021-01-01,613692,A DIVISION,3,2,Persons on Trackbed/Police/Medical,1
2021-01-01,613692,A DIVISION,4,1,Other,1
2021-01-01,613692,A DIVISION,5,1,Signals,2
2021-01-01,613692,A DIVISION,6,1,Other,1
2021-01-01,613692,A DIVISION,6,2,Persons on Trackbed/Police/Medical,1
2021-01-01,613692,A DIVISION,7,1,Other,1
2021-01-01,613692,A DIVISION,7,1,Signals,1
2021-01-01,613692,A DIVISION,7,1,Stations and Structure,1
2021-01-01,613692,B DIVISION,B,1,Persons on Trackbed/Police/Medical,2
2021-01-01,613692,B DIVISION,C,1,Persons on Trackbed/Police/Medical,1
2021-01-01,613692,B DIVISION,C,2,Persons on Trackbed/Police/Medical,1
2021-01-01,613692,B DIVISION,D,1,Signals,2
2021-01-01,613692,B DIVISION,E,1,Persons on Trackbed/Police/Medical,1
2021-01-01,613692,B DIVISION,F,1,Other,1
2021-01-01,613692,B DIVISION,F,1,Signals,2
2021-01-01,613692,B DIVISION,L,1,Track,1
2021-01-01,613692,B DIVISION,L,2,Persons on Trackbed/Police/Medical,1
2021-01-01,613692,B DIVISION,L,2,Signals,1
2021-01-01,613692,B DIVISION,M,1,Persons on Trackbed/Police/Medical,1
2021-01-01,613692,B DIVISION,N,1,Signals,2
2021-01-01,613692,B DIVISION,N,2,Signals,1
2021-01-01,613692,B DIVISION,R,1,Persons on Trackbed/Police/Medical,2
2021-01-01,613692,B DIVISION,R,1,Signals,1
2021-01-01,613692,B DIVISION,S Fkln,2,Subway Car,1
2021-02-01,583230,A DIVISION,1,1,Other,2
2021-02-01,583230,A DIVISION,1,1,Signals,1
2021-02-01,583230,A DIVISION,2,1,Persons on Trackbed/Police/Medical,2
2021-02-01,583230,A DIVISION,2,1,Stations and Structure,1
2021-02-01,583230,A DIVISION,3,2,Subway Car,1
2021-02-01,583230,A DIVISION,5,1,Persons on Trackbed/Police/Medical,2
2021-02-01,583230,A DIVISION,5,1,Signals,1
2021-02-01,583230,A DIVISION,5,1,Track,1
2021-02-01,583230,A DIVISION,6,1,Persons on Trackbed/Police/Medical,2
2021-02-01,583230,A DIVISION,6,1,Signals,1
2021-02-01,583230,A DIVISION,7,1,Persons on Trackbed/Police/Medical,1
2021-02-01,583230,A DIVISION,7,1,Signals,1
2021-02-01,583230,A DIVISION,7,1,Stations and Structure,1
2021-02-01,583230,A DIVISION,7,1,Track,2
2021-02-01,583230,B DIVISION,A,1,Persons on Trackbed/Police/Medical,1
2021-02-01,583230,B DIVISION,A,1,Subway Car,1
2021-02-01,583230,B DIVISION,A,2,Persons on Trackbed/Police/Medical,1
2021-02-01,583230,B DIVISION,B,1,Signals,1
2021-02-01,583230,B DIVISION,B,1,Subway Car,2
2021-02-01,583230,B DIVISION,C,1,Persons on Trackbed/Police/Medical,1
2021-02-01,583230,B DIVISION,C,1,Stations and Structure,1
2021-02-01,583230,B DIVISION,E,1,Signals,1
2021-02-01,583230,B DIVISION,E,1,Subway Car,1
2021-02-01,583230,B DIVISION,F,2,Signals,1
2021-02-01,583230,B DIVISION,JZ,1,Other,2
2021-02-01,583230,B DIVISION,JZ,2,Other,1
2021-02-01,583230,B DIVISION,L,1,Persons on Trackbed/Police/Medical,1
2021-02-01,583230,B DIVISION,L,1,Signals,3
2021-02-01,583230,B DIVISION,L,1,Track,1
2021-02-01,583230,B DIVISION,L,2,Other,1
2021-02-01,583230,B DIVISION,L,2,Signals,1
2021-02-01,583230,B DIVISION,M,1,Persons on Trackbed/Police/Medical,1
2021-02-01,583230,B DIVISION,M,1,Stations and Structure,1
2021-02-01,583230,B DIVISION,M,2,Signals,1
2021-02-01,583230,B DIVISION,N,1,Other,3
2021-02-01,583230,B DIVISION,N,1,Signals,1
2021-02-01,583230,B DIVISION,Q,1,Signals,1
2021-02-01,583230,B DIVISION,R,1,Other,1
2021-02-01,583230,B DIVISION,R,1,Persons on Trackbed/Police/Medical,1
2021-02-01,583230,B DIVISION,S Fkln,1,Signals,1
2021-03-01,1696274,A DIVISION,2,1,Persons on Trackbed/Police/Medical,1
2021-03-01,1696274,A DIVISION,2,1,Track,1
2021-03-01,1696274,A DIVISION,3,1,Persons on Trackbed/Police/Medical,2
2021-03-01,1696274,A DIVISION,4,1,Persons on Trackbed/Police/Medical,1
2021-03-01,1696274,A DIVISION,4,1,Track,1
2021-03-01,1696274,A DIVISION,5,1,Persons on Trackbed/Police/Medical,2
2021-03-01,1696274,A DIVISION,5,1,Signals,1
2021-03-01,1696274,A DIVISION,6,1,Persons on Trackbed/Police/Medical,1
2021-03-01,1696274,A DIVISION,6,1,Signals,1
2021-03-01,1696274,A DIVISION,6,1,Track,1
2021-03-01,1696274,A DIVISION,7,1,Persons on Trackbed/Police/Medical,1
2021-03-01,1696274,A DIVISION,7,1,Signals,1
2021-03-01,1696274,B DIVISION,A,1,Track,1
2021-03-01,1696274,B DIVISION,D,1,Persons on Trackbed/Police/Medical,1
2021-03-01,1696274,B DIVISION,D,1,Signals,1
2021-03-01,1696274,B DIVISION,E,1,Persons on Trackbed/Police/Medical,1
2021-03-01,1696274,B DIVISION,F,1,Persons on Trackbed/Police/Medical,1
2021-03-01,1696274,B DIVISION,F,2,Signals,1
2021-03-01,1696274,B DIVISION,JZ,2,Persons on Trackbed/Police/Medical,1
2021-03-01,1696274,B DIVISION,M,1,Signals,1
2021-03-01,1696274,B DIVISION,N,1,Other,1
2021-03-01,1696274,B DIVISION,N,1,Track,1
2021-03-01,1696274,B DIVISION,Q,1,Track,1
2021-03-01,1696274,B DIVISION,R,1,Other,1
2021-03-01,1696274,B DIVISION,R,1,Persons on Trackbed/Police/Medical,1
2021-04-01,1841815,A DIVISION,1,1,Persons on Trackbed/Police/Medical,2
2021-04-01,1841815,A DIVISION,1,2,Persons on Trackbed/Police/Medical,1
2021-04-01,1841815,A DIVISION,3,1,Subway Car,1
2021-04-01,1841815,A DIVISION,3,2,Persons on Trackbed/Police/Medical,1
2021-04-01,1841815,A DIVISION,4,1,Persons on Trackbed/Police/Medical,1
2021-04-01,1841815,A DIVISION,4,1,Track,1
2021-04-01,1841815,A DIVISION,5,1,Signals,2
2021-04-01,1841815,A DIVISION,6,1,Persons on Trackbed/Police/Medical,1
2021-04-01,1841815,A DIVISION,6,1,Stations and Structure,1
2021-04-01,1841815,A DIVISION,7,1,Persons on Trackbed/Police/Medical,1
2021-04-01,1841815,A DIVISION,7,1,Signals,2
2021-04-01,1841815,B DIVISION,A,1,Persons on Trackbed/Police/Medical,1
2021-04-01,1841815,B DIVISION,B,1,Persons on Trackbed/Police/Medical,1
2021-04-01,1841815,B DIVISION,B,1,Signals,2
2021-04-01,1841815,B DIVISION,D,1,Track,1
2021-04-01,1841815,B DIVISION,E,1,Signals,1
2021-04-01,1841815,B DIVISION,F,1,Signals,1
2021-04-01,1841815,B DIVISION,L,2,Signals,1
2021-04-01,1841815,B DIVISION,N,1,Signals,1
2021-04-01,1841815,B DIVISION,N,1,Subway Car,1
2021-04-01,1841815,B DIVISION,N,1,Track,2
2021-04-01,1841815,B DIVISION,R,1,Signals,2
2021-04-01,1841815,B DIVISION,R,1,Subway Car,1
2021-05-01,1515211,A DIVISION,1,1,Persons on Trackbed/Police/Medical,1
2021-05-01,1515211,A DIVISION,1,1,Track,1
2021-05-01,1515211,A DIVISION,1,2,Persons on Trackbed/Police/Medical,1
2021-05-01,1515211,A DIVISION,2,1,Other,1
2021-05-01,1515211,A DIVISION,2,1,Stations and Structure,1
2021-05-01,1515211,A DIVISION,2,1,Subway Car,1
2021-05-01,1515211,A DIVISION,2,2,Subway Car,1
2021-05-01,1515211,A DIVISION,4,1,Other,1
2021-05-01,1515211,A DIVISION,4,1,Persons on Trackbed/Police/Medical,1
2021-05-01,1515211,A DIVISION,4,1,Subway Car,1
2021-05-01,1515211,A DIVISION,5,1,Other,1
2021-05-01,1515211,A DIVISION,5,1,Persons on Trackbed/Police/Medical,1
2021-05-01,1515211,A DIVISION,6,1,Subway Car,1
2021-05-01,1515211,A DIVISION,7,1,Other,1
2021-05-01,1515211,A DIVISION,7,1,Signals,3
2021-05-01,1515211,B DIVISION,A,1,Persons on Trackbed/Police/Medical,1
2021-05-01,1515211,B DIVISION,A,1,Stations and Structure,1
2021-05-01,1515211,B DIVISION,A,1,Track,2
2021-05-01,1515211,B DIVISION,B,1,Persons on Trackbed/Police/Medical,1
2021-05-01,1515211,B DIVISION,C,2,Subway Car,1
2021-05-01,1515211,B DIVISION,D,1,Signals,1
2021-05-01,1515211,B DIVISION,E,1,Other,1
2021-05-01,1515211,B DIVISION,E,1,Persons on Trackbed/Police/Medical,2
2021-05-01,1515211,B DIVISION,E,1,Signals,1
2021-05-01,1515211,B DIVISION,E,1,Track,1
2021-05-01,1515211,B DIVISION,E,2,Other,1
2021-05-01,1515211,B DIVISION,E,2,Signals,1
2021-05-01,1515211,B DIVISION,F,1,Other,2
2021-05-01,1515211,B DIVISION,F,1,Persons on Trackbed/Police/Medical,1
2021-05-01,1515211,B DIVISION,F,1,Signals,1
2021-05-01,1515211,B DIVISION,F,1,Stations and Structure,1
2021-05-01,1515211,B DIVISION,G,1,Signals,1
2021-05-01,1515211,B DIVISION,L,2,Track,1
2021-05-01,1515211,B DIVISION,N,1,Signals,2
2021-05-01,1515211,B DIVISION,Q,1,Persons on Trackbed/Police/Medical,1
2021-05-01,1515211,B DIVISION,Q,1,Signals,1
2021-05-01,1515211,B DIVISION,Q,2,Stations and Structure,1
2021-06-01,2258831,A DIVISION,1,1,Stations and Structure,1
2021-06-01,2258831,A DIVISION,2,1,Persons on Trackbed/Police/Medical,2
2021-06-01,2258831,A DIVISION,2,1,Subway Car,1
2021-06-01,2258831,A DIVISION,3,2,Signals,1
2021-06-01,2258831,A DIVISION,4,1,Persons on Trackbed/Police/Medical,2
2021-06-01,2258831,A DIVISION,4,1,Signals,1
2021-06-01,2258831,A DIVISION,5,1,Signals,1
2021-06-01,2258831,A DIVISION,5,1,Subway Car,2
2021-06-01,2258831,A DIVISION,6,1,Persons on Trackbed/Police/Medical,2
2021-06-01,2258831,A DIVISION,6,1,Signals,1
2021-06-01,2258831,A DIVISION,6,1,Stations and Structure,1
2021-06-01,2258831,A DIVISION,6,1,Subway Car,2
2021-06-01,2258831,A DIVISION,7,1,Signals,2
2021-06-01,2258831,A DIVISION,S 42nd,1,Subway Car,2
2021-06-01,2258831,B DIVISION,A,1,Stations and Structure,2
2021-06-01,2258831,B DIVISION,B,1,Signals,1
2021-06-01,2258831,B DIVISION,C,1,Persons on Trackbed/Police/Medical,1
2021-06-01,2258831,B DIVISION,D,1,Persons on Trackbed/Police/Medical,1
2021-06-01,2258831,B DIVISION,D,1,Signals,1
2021-06-01,2258831,B DIVISION,D,1,Subway Car,1
2021-06-01,2258831,B DIVISION,D,2,Stations and Structure,1
2021-06-01,2258831,B DIVISION,E,1,Other,1
2021-06-01,2258831,B DIVISION,E,1,Signals,5
2021-06-01,2258831,B DIVISION,E,1,Stations and Structure,1
2021-06-01,2258831,B DIVISION,E,1,Track,1
2021-06-01,2258831,B DIVISION,E,2,Stations and Structure,1
2021-06-01,2258831,B DIVISION,F,1,Persons on Trackbed/Police/Medical,1
2021-06-01,2258831,B DIVISION,F,1,Signals,3
2021-06-01,2258831,B DIVISION,F,1,Stations and Structure,2
2021-06-01,2258831,B DIVISION,F,1,Track,2
2021-06-01,2258831,B DIVISION,L,1,Signals,1
2021-06-01,2258831,B DIVISION,M,1,Signals,1
2021-06-01,2258831,B DIVISION,M,1,Stations and Structure,1
2021-06-01,2258831,B DIVISION,N,1,Persons on Trackbed/Police/Medical,1
2021-06-01,2258831,B DIVISION,N,1,Signals,1
2021-06-01,2258831,B DIVISION,N,2,Subway Car,1
2021-06-01,2258831,B DIVISION,Q,1,Persons on Trackbed/Police/Medical,1
2021-06-01,2258831,B DIVISION,Q,1,Subway Car,1
2021-06-01,2258831,B DIVISION,Q,1,Track,2
2021-06-01,2258831,B DIVISION,R,1,Signals,2
2021-06-01,2258831,B DIVISION,R,1,Stations and Structure,1
2021-07-01,2292461,A DIVISION,1,1,Persons on Trackbed/Police/Medical,1
2021-07-01,2292461,A DIVISION,2,1,Persons on Trackbed/Police/Medical,1
2021-07-01,2292461,A DIVISION,2,1,Track,1
2021-07-01,2292461,A DIVISION,3,1,Persons on Trackbed/Police/Medical,2
2021-07-01,2292461,A DIVISION,5,1,Signals,1
2021-07-01,2292461,A DIVISION,6,1,Persons on Trackbed/Police/Medical,1
2021-07-01,2292461,A DIVISION,6,1,Signals,1
2021-07-01,2292461,A DIVISION,6,1,Track,2
2021-07-01,2292461,A DIVISION,7,1,Signals,1
2021-07-01,2292461,A DIVISION,7,2,Signals,1
2021-07-01,2292461,B DIVISION,A,1,Signals,1
2021-07-01,2292461,B DIVISION,A,1,Track,1
2021-07-01,2292461,B DIVISION,B,1,Persons on Trackbed/Police/Medical,1
2021-07-01,2292461,B DIVISION,B,1,Stations and Structure,1
2021-07-01,2292461,B DIVISION,B,1,Subway Car,1
2021-07-01,2292461,B DIVISION,B,1,Track,1
2021-07-01,2292461,B DIVISION,C,2,Signals,1
2021-07-01,2292461,B DIVISION,D,1,Signals,1
2021-07-01,2292461,B DIVISION,E,1,Persons on Trackbed/Police/Medical,1
2021-07-01,2292461,B DIVISION,E,1,Stations and Structure,1
2021-07-01,2292461,B DIVISION,E,1,Track,2
2021-07-01,2292461,B DIVISION,F,1,Other,1
2021-07-01,2292461,B DIVISION,F,1,Signals,3
2021-07-01,2292461,B DIVISION,JZ,1,Track,1
2021-07-01,2292461,B DIVISION,L,1,Persons on Trackbed/Police/Medical,1
2021-07-01,2292461,B DIVISION,L,1,Subway Car,1
2021-07-01,2292461,B DIVISION,L,1,Track,1
2021-07-01,2292461,B DIVISION,M,1,Persons on Trackbed/Police/Medical,1
2021-07-01,2292461,B DIVISION,M,1,Track,1
2021-07-01,2292461,B DIVISION,N,1,Signals,2
2021-07-01,2292461,B DIVISION,N,1,Stations and Structure,1
2021-07-01,2292461,B DIVISION,N,1,Subway Car,1
2021-07-01,2292461,B DIVISION,N,1,Track,1
2021-07-01,2292461,B DIVISION,N,2,Signals,1
